  year          age             female            male           total
  2019           0              9248.30        11675.82        20924.12
  2019         1-4              1635.05         2040.14         3675.19
  2019         5-9              1043.00         1290.10         2333.10
  2019        10-14             1268.01         1896.12         3164.13
  2019        15-19             2897.10         7361.53        10258.63
  2019        20-24             5126.16        14387.01        19513.17
  2019        25-29             7529.24        19446.35        26975.59
  2019        30-34            10293.33        21909.52        32202.85
  2019        35-39            13402.44        25240.77        38643.21
  2019        40-44            16154.53        28201.96        44356.49
  2019        45-49            24381.77        39353.74        63735.51
  2019        50-54            37167.18        59495.16        96662.34
  2019        55-59            61394.95        97063.78       158458.73
  2019        60-64            85621.73       130880.14       216501.87
  2019        65-69           103479.29       150951.54       254430.83
  2019        70-74           131844.19       169315.82       301160.01
  2019        75-79           152997.88       176505.33       329503.21
  2019        80-84           179933.73       178615.49       358549.22
  2019        85-89           209047.67       169895.87       378943.54
  2019        90-94           198205.32       119280.34       317485.66
  2019        95-99           103569.29        43060.99       146630.28
  2019       100-104           22630.72         5626.40        28257.12
  2019       105-109            2062.08          320.01         2382.09
  2019       110+                 82.00            9.00           91.00
