  year          age             female            male           total
  2019           0           1750711.76      1826354.36      3577066.12
  2019         1-4           7506725.11      7835313.66     15342038.77
  2019         5-9           9851243.52     10300438.20     20151681.72
  2019        10-14         10563535.65     11068902.74     21632438.39
  2019        15-19         10735486.79     11200774.79     21936261.59
  2019        20-24         10791589.33     11194601.71     21986191.04
  2019        25-29         11249749.18     11471967.97     22721717.15
  2019        30-34         11154153.77     11191393.52     22345547.29
  2019        35-39         10964548.37     10907808.03     21872356.41
  2019        40-44         10131841.50      9957539.17     20089380.67
  2019        45-49         10369232.75     10149333.52     20518566.27
  2019        50-54         10559300.59     10255817.36     20815117.94
  2019        55-59         11386164.44     10845501.36     22231665.80
  2019        60-64         10871670.05     10081249.02     20952919.08
  2019        65-69          9386938.20      8422823.29     17809761.49
  2019        70-74          7579940.14      6588291.17     14168231.31
  2019        75-79          5266575.15      4297262.06      9563837.21
  2019        80-84          3557505.56      2637417.33      6194922.90
  2019        85-89          2274130.81      1468587.73      3742718.54
  2019        90-94          1201107.83       587135.92      1788243.75
  2019        95-99           376178.92       129496.64       505675.56
  2019       100-104           53576.01        11568.89        65144.90
  2019       105-109            3701.36          513.09         4214.45
  2019       110+                122.73           23.04          145.77
